type,msg_len,enc_elapsed_time_sd,dec_elapsed_time_sd,all_len,iv_len,ciphertext_len,tag_len,sig_len,c2_len,e_len
imessage,52428800,0.337762,0.334446,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.148910,0.151437,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246486,0.239354,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168708,0.172571,52428881,0,52428800,16,0,0,65
imessage,52428800,0.331869,0.334292,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.146575,0.151458,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246469,0.242165,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.168436,0.172361,52428881,0,52428800,16,0,0,65
imessage,52428800,0.332461,0.332813,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.145833,0.150574,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.248070,0.243004,52428953,16,52428800,0,72,0,65
hpke_auth,52428800,0.168088,0.172761,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334125,0.334284,52429015,16,52428800,0,71,128,0
hybrid_signcryption,52428800,0.145183,0.151482,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.246975,0.244624,52428951,16,52428800,0,70,0,65
hpke_auth,52428800,0.169668,0.173387,52428881,0,52428800,16,0,0,65
imessage,52428800,0.338747,0.336108,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.146654,0.151801,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.248413,0.245936,52428952,16,52428800,0,71,0,65
hpke_auth,52428800,0.170381,0.172134,52428881,0,52428800,16,0,0,65
imessage,52428800,0.334589,0.334256,52429016,16,52428800,0,72,128,0
hybrid_signcryption,52428800,0.147374,0.150186,52428864,16,52428800,16,32,0,0
ecies_signature,52428800,0.250579,0.241060,52428953,16,52428800,0,72,0,65
